;station_ID;station_names;lon;lat;alt
131;61641;Dakar / Yoff ;-17.50001;14.733348;27
132;61666;Diourbel ;-16.233338;14.650013;7
133;61679;Kaolack ;-16.066668;14.133336;6
134;61687;Tambacounda ;-13.683347;13.766682;49
135;61695;Ziguinchor ;-16.266672;12.550011;26
136;61697;Cap-Skirring ;-16.750015;12.033334;48
137;61698;Kolda ;-14.966686;12.883351;10
138;61699;Kedougou ;-12.216671;12.566678;178
139;65351;Dapaon ;0.250005;10.866684;329
140;65352;Mango ;0.466676;10.366674;145
141;65355;Niamtougou ;1.100002;9.766682;342
142;65357;Kara ;1.16667;9.550011;340
143;65361;Sokode ;1.150003;8.983353;386
144;65376;Atakpame ;1.116669;7.583345;400
145;65380;Tabligbo ;1.50001;6.583345;44
146;65387;Lome ;1.250005;6.16667;20
